coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k,per_plot_percent,per_zero_clipped,per_plot_floor_percent
KURAMOTO,5,1.0,1000,0.0,10.0,92.5,,35.099999999999994,1.0,92.5,1.0,94.7,0.7822342955679848,1.4505636177840653,0.2514199829873946,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,2.0,1000,0.0,10.0,93.1,,37.4,1.0,93.1,1.0,95.5,0.751538556810197,1.4067528506394478,0.3082010695324498,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,3.0,1000,0.0,10.0,94.0,,41.0,1.0,94.0,1.0,96.0,0.722917212028185,1.3650885965098576,0.3643880013556206,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,5.0,1000,0.0,10.0,94.7,,45.6,1.0,94.8,1.0,97.3,0.6665281930820786,1.2982906638915632,0.5065286280161334,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,7.0,1000,0.0,10.0,95.1,,49.0,1.0,95.1,1.0,97.9,0.6165550249245242,1.2546352548383817,0.677460501395189,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,10.0,1000,0.0,10.0,96.0,129.0,53.7,1.0,96.0,1.0,98.8,0.5590735315400892,1.1910809127913544,0.8114450968232076,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,15.0,1000,0.0,10.0,96.4,87.5,56.8,1.0,96.4,1.0,99.7,0.550520944632262,1.1577955065920291,0.8122013755124138,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,20.0,1000,0.0,10.0,96.6,65.0,57.8,1.0,96.6,1.0,100.0,0.5360539050262118,1.1423110090179474,0.812935429139519,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,30.0,1000,0.0,10.0,97.8,44.0,58.3,1.0,97.9,1.0,100.0,0.5327559748556314,1.1322096134737951,0.8141142891360578,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
KURAMOTO,5,50.0,1000,0.0,10.0,99.6,27.0,59.4,1.0,99.6,1.0,100.0,0.5292524435192216,1.1248904746720094,0.8173364549787313,0,1000.0,2000.0,1000;1500;2000,3,7.0,2000.0,7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,16,1.0,0.0185185185185185,True,0.0185185185185185
